key;hu;de;eng
LABEL_LOGIN;Bejelentkezés;Anmelden;Login
LABEL_LOGOUT;Kijelentkezés;Abmelden;Logout
LABEL_REGISTRATION;Regisztrâciô;Registrieren;Registration
LABEL_NEAR_TOILETS;Közeli mosdôk;Toaletten in der Nähe;Near Toilets
LABEL_EMAIL;Email;Email
LABEL_PASSWORD;Jelszô;Passwort;Password
LABEL_OR;vagy;oder;or
LABEL_CLOSE;Bezârâs;Schliessen;Close
LABEL_ADD_TOILET;Mosdô hozzâadâsa;WC hinzufügen;Add Toilet
LABEL_NAME;Megnevezês;Bezeichnung;Label
LABEL_WICKELRAUM;Pelenkâzô;Wickelraum;Baby changing station
LABEL_ROLLSTUHLGERECHT;Akadâlymentes;Rohlstuhlgerecht;Accessible
LABEL_ZU_FUSS;Gyalog;zu Fuss;on Foot
LABEL_AUTO;Auto;Auto;Auto
LABEL_VELO;Bicigli;Fahrrad;Bicycle
LABEL_BEWERTUNG;Èrtêkelês;Bewertung;Rating
LABEL_ROUTE;Ùtvonal;Route;Route
LABEL_PRICE;Ár;Preis;Price
LABEL_NAME;Wc megnevezés;Bezeichnung;Bezeichnung
LABEL_SPEICHERN;Mentés;Speichern;Save
LABEL_CLOSE;Bezárás;Schliessen;Close
LABEL_GEOLOCATION_DENIED;Engedélyezze a Helymeghatározás;Standortzugriff wurde verweigert. Ohne Standort kann kein WC hinzugefügt werden. Bitte aktivieren Sie die Standortfreigabe.;
LABEL_SAVE_FAILED;Mentés sikertelen;Speichern fehlgeschlagen;
LABEL_NOTES;Megjegyzések;Notizen;Notes
LABEL_OWN_NOTES;Saját megjegyzések;Eigene Notizen;Own Notes
LABEL_ADD_NOTE;Megjegyzés hozzáadása;Notizen hinzufügen;Add Notes
LABEL_VON_DIR;töled;entfernt;Near
